Fund Name,Category,NAV,Risk Rating
ABL Cash Fund,Money Market (Annualized Return),10.7807,AA+(f)
ABL Money Market Plan I,Money Market (Annualized Return),10.5173,AA+(f)
AKD Cash Fund,Money Market (Annualized Return),54.6506,AA+(f)
AL Habib Cash Fund,Money Market (Annualized Return),106.89,AAA(f)
AL Habib Money Market Fund,Money Market (Annualized Return),105.6713,AAA(f)
Alfalah Cash Fund - II (Formerly: Faysal Cash Fund),Money Market (Annualized Return),107.6602,AA+(f)
Alfalah GHP Cash Fund,Money Market (Annualized Return),529.0186,AA+(f)
Alfalah GHP Money Market Fund,Money Market (Annualized Return),103.9848,AA+(f)
Alfalah Money Market Fund - II (Formerly: Faysal Money Market Fund),Money Market (Annualized Return),108.3387,AA(f)
Askari Cash Fund,Money Market (Annualized Return),108.4763,AA+(f)
Atlas Liquid Fund,Money Market (Annualized Return),528.0213,AA+(f)
Atlas Money Market Fund,Money Market (Annualized Return),539.9262,AA+(f)
HBL Cash Fund,Money Market (Annualized Return),108.5002,AA+(f)
HBL Money Market Fund,Money Market (Annualized Return),108.6017,AA+(f)
JS Cash Fund,Money Market (Annualized Return),110.7585,AA+(f)
JS Money Market Fund,Money Market (Annualized Return),116.63,AA+(f)
Lakson Money Market Fund,Money Market (Annualized Return),108.0698,AA+(f)
MCB Cash Management Optimizer,Money Market (Annualized Return),107.5058,AA+(f)
NBP Cash Plan I,Money Market (Annualized Return),10.5826,
NBP Cash Plan II,Money Market (Annualized Return),10.0027,
NBP Government Securities Liquid Fund,Money Market (Annualized Return),10.8215,AAA(f)
NBP Money Market Fund,Money Market (Annualized Return),10.5439,AA(f)
NIT Money Market Fund,Money Market (Annualized Return),10.2799,AAA(f)
Pakistan Cash Management Fund,Money Market (Annualized Return),50.4678,AA+(f)
UBL Cash Fund,Money Market (Annualized Return),105.3492,AA+(f)
UBL Liquidity Fund,Money Market (Annualized Return),103.2864,
UBL Liquidity Plus Fund,Money Market (Annualized Return),106.6745,AA+(f)
UBL Money Market Fund,Money Market (Annualized Return),106.2837,AA+(f)
ABL Financial Sector Fund Plan I,Income (Annualized Return),10.5388,A+(f)
ABL Government Securities Fund,Income (Annualized Return),10.6922,AA-(f)
ABL Income Fund,Income (Annualized Return),10.7146,A+(f)
AL Habib Government Securities Fund,Income (Annualized Return),105.6718,AAA(f)
AL Habib Income Fund,Income (Annualized Return),107.5767,AA(f)
AL Habib Sovereign Income Fund Plan 1,Income (Annualized Return),105.4175,
AL Habib Sovereign Income Fund Plan 2,Income (Annualized Return),105.5024,
AL Habib Sovereign Income Fund Plan 3,Income (Annualized Return),105.272,
Alfalah Financial Sector Income Fund,Income (Annualized Return),105.6573,A+(f)
Alfalah Financial Sector Opportunity Fund  (Formerly: Faysal Financial Sector Opportunity Fund),Income (Annualized Return),122.6885,A+(f)
Alfalah GHP Income Fund,Income (Annualized Return),120.3117,AA-(f)
Alfalah GHP Sovereign Fund,Income (Annualized Return),113.4504,AA-(f)
Alfalah Government Securities Fund - II (Formerly: Faysal Government Securities Fund),Income (Annualized Return),132.8745,AA(f)
Alfalah Government Securities Fund Plan I,Income (Annualized Return),106.1807,
Alfalah Government Securities Fund Plan II,Income (Annualized Return),104.877,
Alfalah MTS Fund (Formerly: Faysal MTS Fund),Income (Annualized Return),109.6565,AA-(f)
Alfalah Savings Growth Fund (Formerly: Faysal Savings Growth Fund),Income (Annualized Return),110.7447,AA-(f)
Askari Sovereign Yield Enhancer,Income (Annualized Return),109.1461,AA-(f)
Atlas Income Fund,Income (Annualized Return),558.0125,AA-(f)
Atlas Sovereign Fund,Income (Annualized Return),108.3543,AA-(f)
AWT Financial Sector Income Fund,Income (Annualized Return),104.0567,A+(f)
AWT Income Fund,Income (Annualized Return),116.1341,A+(f)
HBL Financial Sector Income Fund Plan I,Income (Annualized Return),107.409,
HBL Financial Sector Income Fund Plan II,Income (Annualized Return),100.0,
HBL Government Securities Fund,Income (Annualized Return),120.9634,AA-(f)
HBL Income Fund,Income (Annualized Return),119.5716,A+(f)
JS Government Securities Fund,Income (Annualized Return),117.9851,AA(f)
JS Income Fund,Income (Annualized Return),122.2455,A+(f)
JS Microfinance Sector Fund,Income (Annualized Return),114.346,A(f)
Lakson Income Fund,Income (Annualized Return),108.3536,A+(f)
MCB DCF Income Fund,Income (Annualized Return),114.9367,AA-(f)
MCB Government Securities Plan I,Income (Annualized Return),105.7313,AA(f)
MCB Pakistan Sovereign Fund,Income (Annualized Return),58.01,AA-(f)
NBP Financial Sector Income Fund,Income (Annualized Return),11.2452,A+(f)
NBP Government Securities Plan IV,Income (Annualized Return),10.6232,AA(f)
NBP Government Securities Plan VIII,Income (Annualized Return),10.4006,
NBP Government Securities Savings Fund,Income (Annualized Return),11.1198,AA-(f)
NBP Income Opportunity Fund,Income (Annualized Return),11.8091,A+(f)
NBP Income Plan I,Income (Annualized Return),10.1405,
NBP Mahana Amdani Fund,Income (Annualized Return),10.8495,AA-(f)
NBP Savings Fund,Income (Annualized Return),10.7026,A+(f)
NIT - Government Bond Fund,Income (Annualized Return),10.5846,AA(f)
NIT - Income Fund,Income (Annualized Return),10.8344,AA-(f)
NIT Social Impact Fund,Income (Annualized Return),10.8225,A+(f)
Pak Oman Income Fund,Income (Annualized Return),11.336,A+(f)
Pak Oman Micro Finance Fund,Income (Annualized Return),0.0,
Pakistan Income Fund,Income (Annualized Return),57.9456,AA(f)
UBL Government Securities Fund,Income (Annualized Return),113.0838,AA(f)
UBL Income Opportunity Fund,Income (Annualized Return),114.2681,AA-(f)
ABL Stock Fund,Equity (Absolute Return),39.6304,
AKD Opportunity Fund,Equity (Absolute Return),229.2394,
AL Habib Stock Fund,Equity (Absolute Return),179.3231,
Alfalah GHP Alpha Fund,Equity (Absolute Return),120.6,
Alfalah GHP Stock Fund,Equity (Absolute Return),208.2942,
Alfalah Stock Fund - II (Formerly: Faysal Stock Fund),Equity (Absolute Return),83.2542,
First Capital Mutual Fund,Equity (Absolute Return),0.0,
Golden Arrow Stock Fund,Equity (Absolute Return),38.8563,
HBL Energy Fund,Equity (Absolute Return),34.6873,
HBL Equity Fund,Equity (Absolute Return),251.1462,
HBL Growth Fund-Class A,Equity (Absolute Return),50.1641,
HBL Growth Fund-Class B,Equity (Absolute Return),42.6695,
HBL Investment Fund-Class A,Equity (Absolute Return),18.5894,
HBL Investment Fund-Class B,Equity (Absolute Return),20.0469,
HBL Stock Fund,Equity (Absolute Return),234.0115,
JS Growth Fund,Equity (Absolute Return),567.65,
JS Large Cap Fund,Equity (Absolute Return),464.7,
Lakson Equity Fund,Equity (Absolute Return),339.4303,
MCB Pakistan Stock Market Fund,Equity (Absolute Return),368.4886,
National Investment Unit Trust,Equity (Absolute Return),169.66,
NBP Financial Sector Fund,Equity (Absolute Return),25.4774,
NBP Stock Fund,Equity (Absolute Return),46.2689,
UBL Financial Sector Fund,Equity (Absolute Return),347.1571,
UBL Stock Advantage Fund,Equity (Absolute Return),275.46,
ABL Special Saving Fund (ABL Special Saving Plan I),Capital Protected (Absolute Return),10.6418,
ABL Special Saving Fund (ABL Special Saving Plan II),Capital Protected (Absolute Return),11.0918,
ABL Special Saving Fund (ABL Special Saving Plan III),Capital Protected (Absolute Return),10.7195,
ABL Special Saving Fund (ABL Special Saving Plan IV),Capital Protected (Absolute Return),10.7268,
ABL Special Saving Fund (ABL Special Saving Plan V),Capital Protected (Absolute Return),10.6373,
ABL Special Saving Fund (ABL Special Saving Plan VI),Capital Protected (Absolute Return),10.5782,
Alfalah Special Savings Fund - I (Formerly: Faysal Special Savings Plan I),Capital Protected (Absolute Return),142.9958,
Alfalah Special Savings Fund - II (Formerly: Faysal Special Savings Plan II),Capital Protected (Absolute Return),112.1503,
UBL Special Savings Plan V,Capital Protected - Income (Annualized Return),106.7889,
UBL Special Savings Plan X,Capital Protected - Income (Annualized Return),107.6819,
ABL Fixed Rate Plan XIX,Fixed Rate / Return (Annualized Return),10.5436,
ABL Fixed Rate Plan XVIII,Fixed Rate / Return (Annualized Return),10.4816,
ABL Fixed Rate Plan XX,Fixed Rate / Return (Annualized Return),10.235,
ABL Fixed Rate Plan XXI,Fixed Rate / Return (Annualized Return),10.1482,
ABL Fixed Rate Plan XXII,Fixed Rate / Return (Annualized Return),10.1086,
ABL Fixed Rate Plan XXIII,Fixed Rate / Return (Annualized Return),10.0867,
Al Ameen Islamic Fixed Return Plan I (P),Fixed Rate / Return (Annualized Return),100.0,
AL Habib Fixed Return Fund Plan 19,Fixed Rate / Return (Annualized Return),106.6321,
AL Habib Fixed Return Fund Plan 20,Fixed Rate / Return (Annualized Return),105.5384,
AL Habib Fixed Return Fund Plan 22,Fixed Rate / Return (Annualized Return),105.3709,
AL Habib Fixed Return Fund Plan 23,Fixed Rate / Return (Annualized Return),103.976,
AL Habib Fixed Return Fund Plan 24,Fixed Rate / Return (Annualized Return),103.9051,
AL Habib Fixed Return Fund Plan 25,Fixed Rate / Return (Annualized Return),102.7508,
AL Habib Fixed Return Fund Plan 26,Fixed Rate / Return (Annualized Return),100.6894,
